,en,ru,tr,vi,es,pt,it,id,fr,de,ar,zh,hi,ko,ja
2,Exit,Выход,Çıkış,Lối ra,Salida,Saída,Uscita,Keluar,Sortie,Ausfahrt,مخرج,出口,निकास,출구,出口
3,Gift,Подарок,Hediye,Quà,Regalo,Presente,Regalo,Hadiah,Cadeau,Geschenk,هدية,礼物,उपहार,선물,贈り物
4,Message,Сообщение,Mesaj,Tin nhắn,Mensaje,Mensagem,Messaggio,Pesan,Message,Nachricht,رسالة,信息,संदेश,메시지,メッセージ
5,Sale,Распродажа,İndirim,Giảm giá,Venta,Venda,Vendita,Penjualan,Vente,Verkauf,أُوكَازيُون,销售,बिक्री,판매,セール
6,Tournament,Турнир,Turnuva,Giải đấu,Torneo,Torneio,Torneo,Turnamen,Tournoi,Turnier,المسابقة,比赛,टूर्नामेंट,토너먼트,トーナメント
7,VIP,VIP,VİP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP
8,Profile,Профиль,Profil,Tài khoản,Perfil,Perfil,Profilo,Profil,Profil,Profil,حساب تعريفي,用户档案,प्रोफ़ाइल,프로필,プロフィール
9,More games,Другие игры,Daha fazla oyun,Trò chơi khác,Más juegos,Mais jogos,Più giochi,Permainan kami,Plus de jeux,Mehr Spiele,المزيد من الألعاب,更多游戏,अधिक खेल,더 많은 게임,他のゲーム
10,Settings,Настройки,Ayarlar,Tùy chọn,Ajustes,Opções,Opzioni,Setting,Paramètres,Optionen,إعدادات,选项,समायोजन,선택사항,設定
11,News,Новости,Haberler,Tin tức,Noticias,Notícias,Notizia,Berita,Nouvelles,Nachricht,أخبار,新闻,समाचार,소식,ニュース
12,Back,Назад,Geri,Lưng,Atrás,Voltar,Indietro,Belakang,Dos,Zurück,عودة,后面的,पीछे,뒤로,戻る
13,Create,Создать,Yaratmak,Tạo nên,Crear,Criar,Creare,Membuat,Créer,Erstellen,يخلق,创造,बनाएं,만들기,作成
14,Offline,Оффлайн,Çevrimdışı,Ngoại tuyến,Offline,Offline,Offline,Luring,Hors ligne,Offline,دون اتصال,离线,ऑफलाइन,오프라인,オフライン
15,Daily,Пазл дня,Günlük,Hằng ngày,A diario,Diário,Quotidiano,Sehari-hari,Quotidien,Täglich,يوميًا,日常的,दैनिक,일일,毎日
16,Categories,Категории,Kategoriler,Thể loại,Categorías,Categorias,Categorie,Kategori,Catégories,Kategorien,فئات,类别,श्रेणियाँ,카테고리,カテゴリー
17,Load game,Загрузить игру,Oyunu yükle,Tiếp tục trò chơi,Carga el juego,Carregar jogo,Carica gioco,Muat permainan,Charger le jeu,Spiel laden,حمولة لعبة,加载游戏,खेल लोड करें,게임을 불러오다,ゲームをロード
18,Create puzzle,Создать пазл,Bulmaca Oluştur,Tạo câu đố,Crear rompecabezas,Criar quebra-cabeça,Crea puzzle,Buat teka-teki,Créer énigmes,Rätsel erstellen,إنشاء اللغز,创建难题,पहेली बनाएं,퍼즐을 만듭니다,パズルを作成します
19,NEW GAME/28,НОВАЯ ИГРА/28,YENİ OYUN/28,TRÒ CHƠI MỚI/26,NUEVO JUEGO/28,NOVO JOGO/28,NUOVO GIOCO/28,PERMAINAN BARU/24,NOUVEAU JEU/28,NEUES SPIEL/28,لعبة جديدة/28,新游戏/28,नया खेल/28,새로운 게임/28,新しいゲーム/28
20,Hint,Подсказка,İpucu,Lời khuyên,Pista,Dica,Suggerire,Petunjuk,Indice,Hinweis,فكرة,线索,मदद,힌트,ヒント
21,Zoom in,Приблизить,Yakınlaştır,Phóng to,Acercar,Ampliar,Ingrandire,Perbesar,Agrandir,Hineinzoomen,تكبير,放大,ज़ूम इन,줌 인,ズームイン
