,lifes,nbColor,nbCols,nbRows,time,malus_switch,malus_skullhead,malus_lock,bonus_x2,bonus_x4,bonus_chasseEAU,piece_straight,piece_elbow,piece_T,,
lvl_1,1,2,8,8,30,0,3,3,3,3,3,33,33,33,,99
lvl_2,1,2,8,8,129,6,0,0,3,3,3,28,33,33,,100
lvl_3,1,2,8,8,128,6,0,0,3,3,3,28,33,33,,100
lvl_4,1,2,8,8,127,9,0,0,3,3,3,29,29,33,,100
lvl_5,1,2,8,8,126,9,0,0,3,3,3,29,29,33,,100
lvl_6,1,2,8,8,125,9,0,0,3,3,3,29,29,33,,100
lvl_7,1,2,8,8,124,12,0,0,3,3,3,29,29,30,,100
lvl_8,1,2,8,8,123,12,0,0,3,3,3,29,29,30,,100
lvl_9,1,2,8,8,122,12,0,0,3,3,3,29,29,30,,100
lvl_10,1,2,8,8,121,100,0,0,3,3,3,0,0,0,,100
lvl_11,1,2,8,8,120,5,0,0,3,3,3,29,33,33,,100
lvl_12,1,2,8,8,119,0,0,7,3,3,3,33,30,30,,100
lvl_13,1,2,8,8,118,5,0,0,3,3,3,29,33,33,,100
lvl_14,1,2,8,8,117,5,0,5,3,3,3,29,29,32,,100
lvl_15,1,2,8,8,116,5,0,5,3,3,3,29,29,32,,100
lvl_16,1,2,8,8,115,5,0,5,3,3,3,29,29,32,,100
lvl_17,1,2,8,8,114,5,0,5,3,3,3,29,29,32,,100
lvl_18,1,2,8,8,113,5,0,5,3,3,3,29,29,32,,100
lvl_19,1,2,8,8,112,5,0,5,3,3,3,29,29,32,,100
lvl_20,1,2,8,8,111,0,0,17,3,3,3,27,27,29,,100
lvl_21,1,2,8,8,110,5,0,0,3,3,3,30,32,33,,100
lvl_22,1,2,8,8,109,0,0,5,3,3,3,32,30,33,,100
lvl_23,1,2,8,8,108,0,5,0,3,3,3,33,32,30,,100
lvl_24,1,2,8,8,107,5,5,0,3,3,3,30,30,30,,100
lvl_25,1,2,8,8,106,5,5,0,3,3,3,30,30,30,,100
lvl_26,1,2,8,8,105,5,5,0,3,3,3,30,30,30,,100
lvl_27,1,2,8,8,104,0,5,5,3,3,3,30,30,30,,100
lvl_28,1,2,8,8,103,0,5,5,3,3,3,30,30,30,,100
lvl_29,1,2,8,8,102,0,5,5,3,3,3,30,30,30,,100
lvl_30,1,2,8,8,101,5,5,5,3,3,3,28,29,28,,100
lvl_31,1,2,8,8,100,5,0,5,3,3,3,30,30,30,,100
lvl_32,1,2,8,8,99,0,5,5,3,3,3,30,30,30,,100
lvl_33,1,2,8,8,98,5,0,5,3,3,3,30,30,30,,100
lvl_34,1,2,8,8,97,5,5,0,3,3,3,30,30,30,,100
lvl_35,1,2,8,8,96,5,5,0,3,3,3,30,30,30,,100
lvl_36,1,2,8,8,95,5,5,0,3,3,3,30,30,30,,100
lvl_37,1,2,8,8,94,5,5,5,3,3,3,28,28,29,,100
lvl_38,1,2,8,8,93,5,5,5,3,3,3,28,28,29,,100
lvl_39,1,2,8,8,92,5,5,5,3,3,3,28,28,29,,100
lvl_40,1,2,8,8,91,8,8,8,3,3,3,25,25,26,,100
lvl_41,1,2,8,8,90,0,8,5,3,3,3,30,30,27,,100
lvl_42,1,2,8,8,89,8,0,5,3,3,3,27,30,30,,100
lvl_43,1,2,8,8,88,0,8,5,3,3,3,30,30,27,,100
lvl_44,1,2,8,8,87,5,8,0,3,3,3,30,30,27,,100
lvl_45,1,2,8,8,86,8,5,0,3,3,3,27,30,30,,100
lvl_46,1,2,8,8,85,5,8,0,3,3,3,30,30,27,,100
lvl_47,1,2,8,8,84,5,5,8,3,3,3,27,28,27,,100
lvl_48,1,2,8,8,83,5,8,8,3,3,3,28,23,28,,100
lvl_49,1,2,8,8,82,5,5,8,3,3,3,28,26,28,,100
lvl_50,1,2,8,8,81,14,14,14,3,3,3,19,20,19,,100
lvl_51,1,2,8,8,80,14,3,8,3,3,3,21,27,27,,100
lvl_52,1,2,8,8,79,8,3,14,3,3,3,27,21,27,,100
lvl_53,1,2,8,8,78,14,3,8,3,3,3,21,27,27,,100
lvl_54,1,2,8,8,77,8,8,11,3,3,3,25,23,25,,100
lvl_55,1,2,8,8,76,8,8,11,3,3,3,25,23,25,,100
lvl_56,1,2,8,8,75,8,8,11,3,3,3,25,23,25,,100
lvl_57,1,2,8,8,74,11,8,8,3,3,3,23,25,25,,100
lvl_58,1,2,8,8,73,11,8,8,3,3,3,23,25,25,,100
lvl_59,1,2,8,8,72,11,8,8,3,3,3,23,25,25,,100
lvl_60,1,2,8,8,71,8,14,8,3,3,3,25,25,20,,100
lvl_61,1,2,8,8,70,14,3,11,3,3,3,21,24,27,,100
lvl_62,1,2,8,8,69,11,3,14,3,3,3,24,21,27,,100
lvl_63,1,2,8,8,68,14,3,11,3,3,3,21,24,27,,100
lvl_64,1,2,8,8,67,11,8,11,3,3,3,23,23,24,,100
lvl_65,1,2,8,8,66,11,8,11,3,3,3,23,23,24,,100
lvl_66,1,2,8,8,65,11,8,11,3,3,3,23,23,24,,100
